flow id,source ip,source port,destination ip,destination port,protocol,timestamp,flow duration,total fwd packets,total backward packets,total length of fwd packets,total length of bwd packets,fwd packet length max,fwd packet length min,fwd packet length mean,fwd packet length std,bwd packet length max,bwd packet length min,bwd packet length mean,bwd packet length std,flow bytes/s,flow packets/s,flow iat mean,flow iat std,flow iat max,flow iat min,fwd iat total,fwd iat mean,fwd iat std,fwd iat max,fwd iat min,bwd iat total,bwd iat mean,bwd iat std,bwd iat max,bwd iat min,fwd psh flags,bwd psh flags,fwd urg flags,bwd urg flags,fwd header length,bwd header length,fwd packets/s,bwd packets/s,min packet length,max packet length,packet length mean,packet length std,packet length variance,fin flag count,syn flag count,rst flag count,psh flag count,ack flag count,urg flag count,cwe flag count,ece flag count,down/up ratio,average packet size,avg fwd segment size,avg bwd segment size,fwd header length.1,fwd avg bytes/bulk,fwd avg packets/bulk,fwd avg bulk rate,bwd avg bytes/bulk,bwd avg packets/bulk,bwd avg bulk rate,subflow fwd packets,subflow fwd bytes,subflow bwd packets,subflow bwd bytes,init_win_bytes_forward,init_win_bytes_backward,act_data_pkt_fwd,min_seg_size_forward,active mean,active std,active max,active min,idle mean,idle std,idle max,idle min,attack_cat,label
172.217.11.38-192.168.10.14-443-50606-6,192.168.10.14,50606,172.217.11.38,443,6,5/7/2017 9:58,4564399,5,1,135,46.0,46,6,27.0,20.1246118,46,46,46.0,0.0,39.65472782,1.314521364,912879.8,1988084.454,4469013.0,3.0,4564399.0,1141099.75,2219039.464,4469013.0,3.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,100,20,1.09543447,0.219086894,6,46,32.42857143,18.86670032,355.952381,0,1,0,0,1,0,0,0,0,37.83333333,27.0,46.0,100,0,0,0,0,0,0,5,135,1,46,253,479,4,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN,0.0
172.16.0.1-192.168.10.50-59100-80-6,172.16.0.1,59100,192.168.10.50,80,6,5/7/2017 10:51,98624997,5,6,397,11595.0,385,0,79.4,170.8619326,8688,0,1932.5,3506.021777,121.5918922,0.11153359,9862499.7,31200000.0,98600000.0,54.0,98600000.0,24700000.0,49300000.0,98600000.0,1018.0,98600000.0,19700000.0,44100000.0,98600000.0,188.0,0,0,0,0,144,200,0.050697086,0.060836504,0,8688,999.8333333,2558.774807,6547328.515,1,0,0,0,0,0,0,0,1,1090.727273,79.4,1932.5,144,0,0,0,0,0,0,5,397,6,11595,0,235,2,20,11988.0,0.0,11988.0,11988.0,98600000.0,0.0,98600000.0,98600000.0,DoS Hulk,1.0
192.168.10.1-192.168.10.3-53-60785-17,192.168.10.3,60785,192.168.10.1,53,17,4/7/2017 11:27,753128,2,2,91,298.0,46,45,45.5,0.707106781,150,148,149.0,1.414213562,516.5124653,5.311182163,251042.6667,352972.1742,657737.0,24476.0,682213.0,682213.0,0.0,682213.0,682213.0,728652.0,728652.0,0.0,728652.0,728652.0,0,0,0,0,60,72,2.655591081,2.655591081,45,150,86.8,56.78644204,3224.7,0,0,0,0,0,0,0,0,1,108.5,45.5,149.0,60,0,0,0,0,0,0,2,91,2,298,-1,-1,1,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN,0.0
192.168.10.9-107.20.240.48-20160-443-6,192.168.10.9,20160,107.20.240.48,443,6,5/7/2017 2:22,36469570,12,11,1259,4340.0,896,0,104.9166667,256.7062199,1460,0,394.5454545,556.2343685,153.5252541,0.630662769,1657707.727,3459835.007,10000000.0,29.0,36500000.0,3315415.455,4397198.983,10100000.0,50497.0,32800000.0,3280706.8,4696216.618,10100000.0,155.0,0,0,0,0,264,268,0.329041445,0.301621324,0,1460,233.2916667,435.2442072,189437.5199,0,0,0,1,0,0,0,0,0,243.4347826,104.9166667,394.5454545,264,0,0,0,0,0,0,12,1259,11,4340,8192,11,10,20,1004075.0,1651811.822,2911423.0,50381.0,9931552.0,114405.818,10000000.0,9799480.0,BENIGN,0.0
172.16.0.1-192.168.10.50-33396-80-6,172.16.0.1,33396,192.168.10.50,80,6,5/7/2017 10:51,4,2,0,0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,500000.0,4.0,0.0,4.0,4.0,4.0,4.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,64,0,500000.0,0.0,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,64,0,0,0,0,0,0,2,0,0,0,251,-1,0,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DoS Hulk,1.0
192.168.10.15-94.31.29.64-51654-443-6,192.168.10.15,51654,94.31.29.64,443,6,4/7/2017 9:42,82214139,11,10,597,5024.0,224,0,54.27272727,79.86249546,1722,0,502.4,728.711984,68.37023495,0.255430517,4110706.95,13800000.0,58600000.0,4.0,82200000.0,8221413.9,19200000.0,58700000.0,471.0,58700000.0,6527041.778,19500000.0,58600000.0,4.0,0,0,0,0,232,212,0.133796937,0.121633579,0,1722,255.5,532.8835976,283964.9286,0,0,0,1,0,0,0,0,0,267.6666667,54.27272727,502.4,232,0,0,0,0,0,0,11,597,10,5024,8192,31,5,20,108260.0,53223.92742,145895.0,70625.0,41000000.0,24900000.0,58600000.0,23400000.0,BENIGN,0.0
172.16.0.1-192.168.10.50-38030-80-6,172.16.0.1,38030,192.168.10.50,80,6,5/7/2017 10:58,4,2,0,0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,500000.0,4.0,0.0,4.0,4.0,4.0,4.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,64,0,500000.0,0.0,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,64,0,0,0,0,0,0,2,0,0,0,251,-1,0,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DoS Hulk,1.0
192.168.10.3-192.168.10.14-53-65443-17,192.168.10.14,65443,192.168.10.3,53,17,7/7/2017 1:34,167,2,2,82,248.0,41,41,41.0,0.0,124,124,124.0,0.0,1976047.904,23952.09581,55.66666667,91.22134253,161.0,3.0,3.0,3.0,0.0,3.0,3.0,3.0,3.0,0.0,3.0,3.0,0,0,0,0,64,64,11976.0479,11976.0479,41,124,74.2,45.46097227,2066.7,0,0,0,0,0,0,0,0,1,92.75,41.0,124.0,64,0,0,0,0,0,0,2,82,2,248,-1,-1,1,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN,0.0
192.168.10.1-192.168.10.3-53-61031-17,192.168.10.3,61031,192.168.10.1,53,17,5/7/2017 4:05,46349943,2,2,89,288.0,45,44,44.5,0.707106781,161,127,144.0,24.04163056,8.133774835,0.086299998,15400000.0,26600000.0,46200000.0,47595.0,46300000.0,46300000.0,0.0,46300000.0,46300000.0,46200000.0,46200000.0,0.0,46200000.0,46200000.0,0,0,0,0,52,64,0.043149999,0.043149999,44,161,84.2,55.89901609,3124.7,0,0,0,0,0,0,0,0,1,105.25,44.5,144.0,52,0,0,0,0,0,0,2,89,2,288,-1,-1,1,20,121001.0,0.0,121001.0,121001.0,46200000.0,0.0,46200000.0,46200000.0,BENIGN,0.0
162.208.20.178-192.168.10.5-443-51501-6,192.168.10.5,51501,162.208.20.178,443,6,7/7/2017 10:08,192017,7,5,376,3508.0,201,0,53.71428571,78.68653906,1460,0,701.6,731.5646246,20227.3757,62.49446664,17456.09091,33484.18805,84775.0,45.0,192017.0,32002.83333,42911.44328,89358.0,148.0,92520.0,23130.0,43278.44487,87982.0,49.0,0,0,0,0,152,112,36.45510554,26.0393611,0,1460,298.7692308,539.9757948,291573.859,0,0,0,1,0,0,0,0,0,323.6666667,53.71428571,701.6,152,0,0,0,0,0,0,7,376,5,3508,8192,60,6,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN,0.0
